height;period;impact;power;direction;directionMin;total_timestamp;datetime_utc
0.14969;7;0.056;0.11892;64.96173;60.348670000000006;1652821200;2022-05-17 21:00:00+00:00
0.9096;4;0.0;0.0;291.94452;278.32779;1652821200;2022-05-17 21:00:00+00:00
0.77198;11;0.4476;63.09272;135.15039;129.26295;1652821200;2022-05-17 21:00:00+00:00
1.13449;10;0.4646;124.18232;186.61737;179.86212;1652821200;2022-05-17 21:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1652821200;2022-05-17 21:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1652824800;2022-05-17 22:00:00+00:00
0.14969;7;0.056;0.11892;64.96173;60.348670000000006;1652824800;2022-05-17 22:00:00+00:00
0.9096;4;0.0;0.0;291.94452;278.32779;1652824800;2022-05-17 22:00:00+00:00
0.77198;11;0.4476;63.09272;135.15039;129.26295;1652824800;2022-05-17 22:00:00+00:00
1.13449;10;0.4646;124.18232;186.61737;179.86212;1652824800;2022-05-17 22:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1652824800;2022-05-17 22:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1652828400;2022-05-17 23:00:00+00:00
0.14969;7;0.056;0.11892;64.96173;60.348670000000006;1652828400;2022-05-17 23:00:00+00:00
0.9096;4;0.0;0.0;291.94452;278.32779;1652828400;2022-05-17 23:00:00+00:00
0.77198;11;0.4476;63.09272;135.15039;129.26295;1652828400;2022-05-17 23:00:00+00:00
1.13449;10;0.4646;124.18232;186.61737;179.86212;1652828400;2022-05-17 23:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1652828400;2022-05-17 23:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1652832000;2022-05-18 00:00:00+00:00
0.15141;7;0.0703;0.17005;70.88904;63.62540499999999;1652832000;2022-05-18 00:00:00+00:00
1.13779;5;0.0;0.0;292.28375;278.0225;1652832000;2022-05-18 00:00:00+00:00
0.67767;11;0.4424;47.68056;134.75861;129.11187;1652832000;2022-05-18 00:00:00+00:00
1.04654;10;0.4523;102.28487;187.81146;181.36007500000002;1652832000;2022-05-18 00:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1652832000;2022-05-18 00:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1652835600;2022-05-18 01:00:00+00:00
0.15141;7;0.0703;0.17005;70.88904;63.62540499999999;1652835600;2022-05-18 01:00:00+00:00
1.13779;5;0.0;0.0;292.28375;278.0225;1652835600;2022-05-18 01:00:00+00:00
0.67767;11;0.4424;47.68056;134.75861;129.11187;1652835600;2022-05-18 01:00:00+00:00
1.04654;10;0.4523;102.28487;187.81146;181.36007500000002;1652835600;2022-05-18 01:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1652835600;2022-05-18 01:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1652839200;2022-05-18 02:00:00+00:00
0.15141;7;0.0703;0.17005;70.88904;63.62540499999999;1652839200;2022-05-18 02:00:00+00:00
1.13779;5;0.0;0.0;292.28375;278.0225;1652839200;2022-05-18 02:00:00+00:00
0.67767;11;0.4424;47.68056;134.75861;129.11187;1652839200;2022-05-18 02:00:00+00:00
1.04654;10;0.4523;102.28487;187.81146;181.36007500000002;1652839200;2022-05-18 02:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1652839200;2022-05-18 02:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1652842800;2022-05-18 03:00:00+00:00
0.11783;7;0.0531;0.07875;64.23004;59.64983;1652842800;2022-05-18 03:00:00+00:00
1.1995;5;0.0;0.0;299.505;284.917015;1652842800;2022-05-18 03:00:00+00:00
0.63681;11;0.4173;39.08464;133.63904;127.86806999999999;1652842800;2022-05-18 03:00:00+00:00
0.93914;10;0.4108;72.4578;189.90125;182.77864;1652842800;2022-05-18 03:00:00+00:00
0.06841;18;0.1013;0.28496;147.60391;141.77698;1652842800;2022-05-18 03:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1652846400;2022-05-18 04:00:00+00:00
0.11783;7;0.0531;0.07875;64.23004;59.64983;1652846400;2022-05-18 04:00:00+00:00
1.1995;5;0.0;0.0;299.505;284.917015;1652846400;2022-05-18 04:00:00+00:00
0.63681;11;0.4173;39.08464;133.63904;127.86806999999999;1652846400;2022-05-18 04:00:00+00:00
0.93914;10;0.4108;72.4578;189.90125;182.77864;1652846400;2022-05-18 04:00:00+00:00
0.06841;18;0.1013;0.28496;147.60391;141.77698;1652846400;2022-05-18 04:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1652850000;2022-05-18 05:00:00+00:00
0.11783;7;0.0531;0.07875;64.23004;59.64983;1652850000;2022-05-18 05:00:00+00:00
1.1995;5;0.0;0.0;299.505;284.917015;1652850000;2022-05-18 05:00:00+00:00
0.63681;11;0.4173;39.08464;133.63904;127.86806999999999;1652850000;2022-05-18 05:00:00+00:00
0.93914;10;0.4108;72.4578;189.90125;182.77864;1652850000;2022-05-18 05:00:00+00:00
0.06841;18;0.1013;0.28496;147.60391;141.77698;1652850000;2022-05-18 05:00:00+00:00
0.0;0;0.0;0.0;0.0;0.0;1652853600;2022-05-18 06:00:00+00:00
0.0961;7;0.0539;0.05377;63.71637;58.97983;1652853600;2022-05-18 06:00:00+00:00
1.41577;5;0.0;0.0;298.58875;283.73102;1652853600;2022-05-18 06:00:00+00:00
0.59092;10;0.4489;33.60666;132.85486;127.201565;1652853600;2022-05-18 06:00:00+00:00
0.89033;10;0.4566;70.86446;188.58905;181.406285;1652853600;2022-05-18 06:00:00+00:00
